[2025-04-22T10:20:38.453+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: readsb_hist_dag.download_readsb_hist scheduled__2024-10-01T00:00:00+00:00 [queued]>
[2025-04-22T10:20:38.457+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: readsb_hist_dag.download_readsb_hist scheduled__2024-10-01T00:00:00+00:00 [queued]>
[2025-04-22T10:20:38.458+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 2
[2025-04-22T10:20:38.463+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): download_readsb_hist> on 2024-10-01 00:00:00+00:00
[2025-04-22T10:20:38.468+0000] {standard_task_runner.py:57} INFO - Started process 944 to run task
[2025-04-22T10:20:38.471+0000] {standard_task_runner.py:84} INFO - Running: ['airflow', 'tasks', 'run', 'readsb_hist_dag', 'download_readsb_hist', 'scheduled__2024-10-01T00:00:00+00:00', '--job-id', '208', '--raw', '--subdir', 'DAGS_FOLDER/readsb_hist_dag.py', '--cfg-path', '/tmp/tmp_yiswea5']
[2025-04-22T10:20:38.472+0000] {standard_task_runner.py:85} INFO - Job 208: Subtask download_readsb_hist
[2025-04-22T10:20:38.540+0000] {task_command.py:416} INFO - Running <TaskInstance: readsb_hist_dag.download_readsb_hist scheduled__2024-10-01T00:00:00+00:00 [running]> on host 4d88e7682171
[2025-04-22T10:20:38.624+0000] {taskinstance.py:1662} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='readsb_hist_dag' AIRFLOW_CTX_TASK_ID='download_readsb_hist' AIRFLOW_CTX_EXECUTION_DATE='2024-10-01T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-10-01T00:00:00+00:00'
[2025-04-22T10:20:38.639+0000] {credentials.py:1124} INFO - Found credentials in environment variables.
[2025-04-22T10:20:52.282+0000] {logging_mixin.py:154} INFO - [FOUND] 17280 files in index.
[2025-04-22T10:20:54.787+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000000Z.json.gz
[2025-04-22T10:20:55.884+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000005Z.json.gz
[2025-04-22T10:20:57.930+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000010Z.json.gz
[2025-04-22T10:20:59.089+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000015Z.json.gz
[2025-04-22T10:21:01.279+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000020Z.json.gz
[2025-04-22T10:21:03.582+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000025Z.json.gz
[2025-04-22T10:21:04.944+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000030Z.json.gz
[2025-04-22T10:21:06.169+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000035Z.json.gz
[2025-04-22T10:21:08.530+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000040Z.json.gz
[2025-04-22T10:21:10.370+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000045Z.json.gz
[2025-04-22T10:21:11.850+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000050Z.json.gz
